policy_id,visit_count,policy_name,category,policy_type,max_house_price,region,max_benefit_amount,min_rate,max_rate,house_size,max_duration_year,policy_url,desc,summary,benefit,benefit_detail,limit,limit_detail,duration,duration_detail,priority,priority_detail,caution
1,1000,통합공공임대주택,주택공급,공공임대,999999,전국,0,35,90,85,30,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyIntegratedPublicView.do#guide=RH112,소득 수준에 따라 시중 시세의 35~90% 수준의 임대료로 최장 30년까지 거주 가능한 공공임대주택입니다.,소득 수준에 따라 시세 35~90% 임대료로 최장 30년 거주,시세의 35~90%,"소득에 따라 자동 결정 (응능임대료)
· 소득이 낮을수록 더 저렴하게 적용",보증금 + 월 임대료,"소득에 따라 자동 결정
· 우선공급: 기준 중위소득 100% 이하
· 일반공급: 기준 중위소득 150% 이하",최장 30년,"· 기본 2년 계약, 2년마다 재계약
· 최장 30년 거주 가능",기준 중위소득 150% 이하,"· 우선공급: 기준 중위소득 100% 이하
· 일반공급: 기준 중위소득 150% 이하
· 자산 3억 3,700만원 이하","전용 85㎡ 이하 주택만 해당
· 자산 3억 3,700만원 이하"
2,1000,매입임대주택,주택공급,공공임대,999999,전국,0,30,50,85,20,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyPurchaseRentalView.do#guide=MENU100,도심 내 기존 주택을 매입하여 청년에게 시세의 30~50% 수준으로 저렴하게 공급하는 임대주택입니다.,도심 내 기존 주택 시세 30~50%로 저렴하게 공급,시세의 30~50%,· 1순위(기초수급자 등)는 더 저렴하게 적용,보증금 + 월 임대료,"· 1순위: 기초생활수급자, 한부모가족 등
· 2순위: 소득 50% 이하
· 3순위: 소득 100% 이하",최장 20년,"· 기본 2년 계약, 재계약 가능
· 최장 20년 거주 가능",소득 100% 이하 (3순위까지),"· 1순위: 기초생활수급자, 한부모가족 등
· 2순위: 기준 중위소득 50% 이하
· 3순위: 기준 중위소득 100% 이하","전용 85㎡ 이하
· 신축이 아닌 기존 주택 리모델링 공급"
3,1000,전세임대주택,주택공급,공공임대,12000(보증금),전국,0,1,2,,,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyCharterRentalView.do#guide=RH107,청년이 원하는 주택을 선택하면 LH 등이 전세계약 후 저렴하게 재임대하는 주택입니다.,원하는 집을 직접 구하면 LH가 전세계약 후 저렴하게 재임대,전세보증금의 1~2% (연 이자),"· 수도권 최대 1억 2,000만원
· 광역시 9,500만원
· 기타 8,500만원 한도 지원","수도권 최대 1억 2,000만원","· 수도권 최대 1억 2,000만원
· 광역시 9,500만원
· 기타 8,500만원 한도
· 전세보증금 LH가 일부 부담",최장 20년,"· 기본 2년 계약, 재계약 가능
· 최장 20년 거주 가능",소득 100% 이하 (2·3순위까지),"· 1순위: 기초수급자 등 취약계층
· 2·3순위: 기준 중위소득 50~100% 이하","· 전용 85㎡ 이하, 보증금 한도 내 주택
· 입주자가 원하는 주택 직접 탐색 후 신청"
4,1000,행복주택,주택공급,공공임대,999999,전국,0,60 ,80,60,20,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyHappyView.do#guide=RH108,"시세의 60~80%로 공급하며, 대학생·청년 10년, 신혼부부(자녀유무에 따라 10~14년), 고령자·수급자 20년 거주 가능합니다.","역세권·직장 근처 신축 공공임대, 시세 60~80% 임대료",시세의 60~80%,"· 청년·대학생: 시세 68~80%
· 신혼부부: 시세 60~80%
· 고령자·수급자: 시세 60% 수준",보증금 + 월 임대료,"· 청약통장 불필요 (100% 추첨제)
· 1순위: 거주지·직장 소재 동일 지역",청년 최장 10년 / 신혼 최장 14년,"· 청년·대학생: 최장 6~10년
· 신혼부부: 최장 10~14년
· 고령자·수급자: 최장 20년",청약통장 불필요 (추첨제),"· 청약통장 불필요 (100% 추첨제)
· 1순위: 거주지·직장 소재 동일 지역 거주자
· 자산 기준 충족 필요","전용 60㎡ 이하
· 임대 후 분양 전환 없음"
5,0,영구임대주택,주택공급,공공임대,999999,전국,0,30,30,40,50,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyContRentalView.do,생계·의료급여 수급자 등 사회적 약자의 주거안정을 위해 시중 시세의 30% 수준으로 최장 50년까지 거주 가능한 공공임대주택입니다.,기초수급자·사회적 약자에게 시세 30% 수준 초저가 임대,시세의 약 30% (매우 저렴),· 주거급여 수급자는 거의 무료에 가까움,보증금 + 월 임대료,"· 생계·의료급여 수급자 최우선
· 한부모가족, 국가유공자 등 우선",최장 50년,"· 최장 50년 장기 거주 가능
· 대기자 많아 입주까지 2~3년 소요 가능",생계·의료급여 수급자 우선,"· 1순위: 생계·의료급여 수급자
· 한부모가족, 국가유공자 등 우선
· 소득·자산 기준 충족 필요","전용 40㎡ 이하 소형 주택
· 대기자 많아 입주까지 2~3년 소요 가능"
6,300,국민임대주택,주택공급,공공임대,999999,전국,0,60,80,60,30,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyNationalRentalView.do,무주택 저소득층의 주거안정을 위해 시중 시세의 60~80% 수준으로 최장 30년까지 거주 가능한 공공임대주택입니다.,저소득 무주택 서민에게 시세 60~80% 장기 임대,시세의 60~80%,· 도시근로자 가구 월평균 소득 70% 이하 대상,보증금 + 월 임대료,"· 도시근로자 가구 월평균 소득 70% 이하
· 자산 3억 3,700만원 이하",최장 30년,"· 최장 30년 장기 거주 가능
· 분양 전환 없음",도시근로자 월평균 소득 70% 이하,"· 도시근로자 가구 월평균 소득 70% 이하
· 자산 3억 3,700만원 이하
· 무주택 세대 구성원","전용 60㎡ 이하
· 분양 전환 없음"
7,300,장기전세주택,주택공급,공공임대,999999,전국,0,80,80,85,20,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyLongCharterView.do,시중 전세시세의 80% 수준으로 최장 20년(2년 단위 재계약)까지 거주 가능한 공공임대주택입니다.,시중 전세 시세의 80% 이하로 최장 20년 전세 거주,시중 전세시세의 80% 이하,"· 2년마다 재계약 시 전세금 인상 제한
· 월세 부담 없음 (전세 방식)",전세 방식 (월세 없음),"· 전세 방식 (월세 없음)
· 2년마다 재계약, 전세금 인상 제한",최장 20년,"· 2년 단위 재계약
· 최장 20년 거주 가능",도시근로자 월평균 소득 100% 이하,"· 도시근로자 가구 월평균 소득 100% 이하
· SH(서울시) 주도, 서울 지역 집중 공급
· 무주택 세대 구성원","전용 85㎡ 이하
· 서울 지역 중심 공급"
8,0,공공지원민간임대주택,주택공급,민간임대,999999,전국,0,75,95,85,10,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyPublicSupPrivateView.do,"무주택자 우선공급, 시세 대비 95%(일반) 및 75%(특별공급) 수준으로 최장 10년 거주 가능한 민간임대주택입니다.","민간 건설이지만 시세 75~95% 수준, 최장 10년 안심 거주",시세의 75~95%,"· 특별공급: 시세 75%
· 일반공급: 시세 95%",보증금 + 월 임대료,"· 특별공급: 시세 75% 수준
· 일반공급: 시세 95% 수준
· 임대료 연 5% 이상 인상 불가 (법적 보호)",최장 10년,"· 최장 10년 거주 가능
· 임대 후 분양 전환 없음","무주택자 우선, 청년·신혼 특별공급","· 무주택자 우선 공급
· 청년·신혼부부 특별공급 물량 별도
· 소득·자산 기준 충족 필요","전용 85㎡ 이하
· 임대료 연 5% 이상 인상 불가"
9,300,공공분양주택,주택공급,공공분양,999999,전국,0,0,0,85,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyLttotView.do,소득이 낮은 무주택서민 및 정책적 배려가 필요한 사회계층의 주택마련을 위해 분양가상한금액 이하로 공급하는 분양주택입니다.,분양가 상한제 적용으로 시세보다 저렴하게 내 집 마련 가능,분양가상한제 적용 (시세보다 저렴),"· 별도 임대료 없음 (분양 후 소유)
· 시세 대비 저렴한 분양가",청약 당첨 후 분양가 납부,"· 청약 당첨 후 분양가 납부
· LTV 70% 대출 가능 (생애최초 80%)",취득 후 영구 소유,"· 분양 후 영구 소유
· 전매 제한 기간 및 실거주 의무 있음",청약통장 가입 기간·납입 우선,"· 청약통장 가입 기간·납입 횟수 우선
· 소득·자산 기준 있음
· 무주택 세대 구성원","전매 제한 기간 준수 필수
· 실거주 의무 적용"
10,300,신혼희망타운,주택공급,공공분양,999999,전국,0,0,0,60,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyHoneyMoonView.do,"신혼부부 특화형 공공주택으로 전량 신혼부부에게 공급하며, 어린이집·공동육아방 등 육아시설과 스마트홈 기술이 적용된 분양·임대 혼합 공급 단지입니다.","신혼부부 전용 특화 공공주택, 어린이집·스마트홈 등 육아 인프라",분양가상한제 적용 + 전용 대출 연계,"· 별도 임대료 없음 (분양 후 소유)
· 어린이집, 공동육아방 등 육아시설 입주",전용 대출 상품 연계,"· 전용 대출 상품 연계 지원
· 분양가상한제 적용으로 시세 대비 저렴",분양 후 영구 소유,"· 분양 후 영구 소유
· 전용 60㎡ 이하 소형",신혼부부 100% 전량 공급,"· 신혼부부 100% 전량 공급
· 혼인 후 7년 이내 또는 예비신혼부부
· 소득 기준 충족 필요","전용 60㎡ 이하 소형
· 어린이집, 공동육아방 등 육아시설 입주"
